"","OBS","DATE","FLOW","DATE2","YEAR","YEAR_CH","MONTH","MONTH_CH","WEEK","DAY","DAY_MONTH","BASEFLOW","QUICKFLOW","RATIO"
"1058",1058,"24/11/1996",7,1996-11-24,1996,"1996",11,"Nov",47,329,30,4.136,2.864,0.409
"1059",1059,"25/11/1996",6.2,1996-11-25,1996,"1996",11,"Nov",48,330,30,4.208,1.992,0.321
"1060",1060,"26/11/1996",9,1996-11-26,1996,"1996",11,"Nov",48,331,30,4.27,4.73,0.526
"1061",1061,"27/11/1996",12,1996-11-27,1996,"1996",11,"Nov",48,332,30,4.321,7.679,0.64
"1062",1062,"28/11/1996",7,1996-11-28,1996,"1996",11,"Nov",48,333,30,4.361,2.639,0.377
"1063",1063,"29/11/1996",6.3,1996-11-29,1996,"1996",11,"Nov",48,334,30,4.388,1.912,0.303
"1064",1064,"30/11/1996",5.8,1996-11-30,1996,"1996",11,"Nov",48,335,30,4.403,1.397,0.241
"1065",1065,"01/12/1996",5.4,1996-12-01,1996,"1996",12,"Dec",48,336,31,4.41,0.99,0.183
"1066",1066,"02/12/1996",5.8,1996-12-02,1996,"1996",12,"Dec",49,337,31,4.374,1.426,0.246
"1067",1067,"03/12/1996",5.1,1996-12-03,1996,"1996",12,"Dec",49,338,31,4.302,0.798,0.156
"1068",1068,"04/12/1996",4.7,1996-12-04,1996,"1996",12,"Dec",49,339,31,4.254,0.446,0.095
"1069",1069,"05/12/1996",4.5,1996-12-05,1996,"1996",12,"Dec",49,340,31,4.226,0.274,0.061
"1070",1070,"06/12/1996",4.4,1996-12-06,1996,"1996",12,"Dec",49,341,31,4.208,0.192,0.044
"1071",1071,"07/12/1996",4.2,1996-12-07,1996,"1996",12,"Dec",49,342,31,4.2,0,0
"1072",1072,"08/12/1996",6.1,1996-12-08,1996,"1996",12,"Dec",49,343,31,4.203,1.897,0.311
"1073",1073,"09/12/1996",23.4,1996-12-09,1996,"1996",12,"Dec",50,344,31,4.237,19.163,0.819
"1074",1074,"10/12/1996",14,1996-12-10,1996,"1996",12,"Dec",50,345,31,4.333,9.667,0.69
"1075",1075,"11/12/1996",8.4,1996-12-11,1996,"1996",12,"Dec",50,346,31,4.456,3.944,0.47
"1076",1076,"12/12/1996",7.2,1996-12-12,1996,"1996",12,"Dec",50,347,31,4.567,2.633,0.366
"1077",1077,"13/12/1996",6.3,1996-12-13,1996,"1996",12,"Dec",50,348,31,4.666,1.634,0.259
"1078",1078,"14/12/1996",6.4,1996-12-14,1996,"1996",12,"Dec",50,349,31,4.755,1.645,0.257
"1079",1079,"15/12/1996",7.8,1996-12-15,1996,"1996",12,"Dec",50,350,31,4.835,2.965,0.38
"1080",1080,"16/12/1996",6.7,1996-12-16,1996,"1996",12,"Dec",51,351,31,4.905,1.795,0.268
"1081",1081,"17/12/1996",8.5,1996-12-17,1996,"1996",12,"Dec",51,352,31,4.966,3.534,0.416
"1082",1082,"18/12/1996",9.7,1996-12-18,1996,"1996",12,"Dec",51,353,31,5.017,4.683,0.483
"1083",1083,"19/12/1996",7.3,1996-12-19,1996,"1996",12,"Dec",51,354,31,5.058,2.242,0.307
"1084",1084,"20/12/1996",9.4,1996-12-20,1996,"1996",12,"Dec",51,355,31,5.088,4.312,0.459
"1085",1085,"21/12/1996",9.4,1996-12-21,1996,"1996",12,"Dec",51,356,31,5.107,4.293,0.457
"1086",1086,"22/12/1996",13.2,1996-12-22,1996,"1996",12,"Dec",51,357,31,5.107,8.093,0.613
"1087",1087,"23/12/1996",9.1,1996-12-23,1996,"1996",12,"Dec",52,358,31,4.905,4.195,0.461
"1088",1088,"24/12/1996",7.7,1996-12-24,1996,"1996",12,"Dec",52,359,31,4.677,3.023,0.393
"1089",1089,"25/12/1996",7,1996-12-25,1996,"1996",12,"Dec",52,360,31,4.46,2.54,0.363
"1090",1090,"26/12/1996",6.6,1996-12-26,1996,"1996",12,"Dec",52,361,31,4.271,2.329,0.353
"1091",1091,"27/12/1996",6.8,1996-12-27,1996,"1996",12,"Dec",52,362,31,4.082,2.718,0.4
"1092",1092,"28/12/1996",6,1996-12-28,1996,"1996",12,"Dec",52,363,31,3.901,2.099,0.35
"1093",1093,"29/12/1996",5.6,1996-12-29,1996,"1996",12,"Dec",52,364,31,3.748,1.852,0.331
"1094",1094,"30/12/1996",5.1,1996-12-30,1996,"1996",12,"Dec",53,365,31,3.618,1.482,0.291
"1095",1095,"31/12/1996",4.7,1996-12-31,1996,"1996",12,"Dec",53,366,31,3.514,1.186,0.252
"1096",1096,"01/01/1997",4.5,1997-01-01,1997,"1997",1,"Jan",1,1,31,3.426,1.074,0.239
"1097",1097,"02/01/1997",4.5,1997-01-02,1997,"1997",1,"Jan",1,2,31,3.338,1.162,0.258
"1098",1098,"03/01/1997",4.4,1997-01-03,1997,"1997",1,"Jan",1,3,31,3.248,1.152,0.262
"1099",1099,"04/01/1997",4.1,1997-01-04,1997,"1997",1,"Jan",1,4,31,3.167,0.933,0.228
"1100",1100,"05/01/1997",4,1997-01-05,1997,"1997",1,"Jan",1,5,31,3.096,0.904,0.226
"1101",1101,"06/01/1997",3.8,1997-01-06,1997,"1997",1,"Jan",1,6,31,3.03,0.77,0.203
"1102",1102,"07/01/1997",3.7,1997-01-07,1997,"1997",1,"Jan",1,7,31,2.972,0.728,0.197
"1103",1103,"08/01/1997",3.6,1997-01-08,1997,"1997",1,"Jan",2,8,31,2.917,0.683,0.19
"1104",1104,"09/01/1997",3.4,1997-01-09,1997,"1997",1,"Jan",2,9,31,2.87,0.53,0.156
"1105",1105,"10/01/1997",3.3,1997-01-10,1997,"1997",1,"Jan",2,10,31,2.831,0.469,0.142
"1106",1106,"11/01/1997",3.2,1997-01-11,1997,"1997",1,"Jan",2,11,31,2.797,0.403,0.126
"1107",1107,"12/01/1997",3.1,1997-01-12,1997,"1997",1,"Jan",2,12,31,2.768,0.332,0.107
"1108",1108,"13/01/1997",3,1997-01-13,1997,"1997",1,"Jan",2,13,31,2.745,0.255,0.085
"1109",1109,"14/01/1997",2.9,1997-01-14,1997,"1997",1,"Jan",2,14,31,2.729,0.171,0.059
"1110",1110,"15/01/1997",2.9,1997-01-15,1997,"1997",1,"Jan",3,15,31,2.715,0.185,0.064
"1111",1111,"16/01/1997",2.8,1997-01-16,1997,"1997",1,"Jan",3,16,31,2.704,0.096,0.034
"1112",1112,"17/01/1997",2.7,1997-01-17,1997,"1997",1,"Jan",3,17,31,2.7,0,0
"1113",1113,"18/01/1997",2.7,1997-01-18,1997,"1997",1,"Jan",3,18,31,2.7,0,0
"1114",1114,"19/01/1997",8.4,1997-01-19,1997,"1997",1,"Jan",3,19,31,2.708,5.692,0.678
"1115",1115,"20/01/1997",7.1,1997-01-20,1997,"1997",1,"Jan",3,20,31,2.724,4.376,0.616
"1116",1116,"21/01/1997",6.8,1997-01-21,1997,"1997",1,"Jan",3,21,31,2.737,4.063,0.597
"1117",1117,"22/01/1997",4.3,1997-01-22,1997,"1997",1,"Jan",4,22,31,2.746,1.554,0.361
"1118",1118,"23/01/1997",3.7,1997-01-23,1997,"1997",1,"Jan",4,23,31,2.749,0.951,0.257
"1119",1119,"24/01/1997",3.4,1997-01-24,1997,"1997",1,"Jan",4,24,31,2.689,0.711,0.209
"1120",1120,"25/01/1997",3.2,1997-01-25,1997,"1997",1,"Jan",4,25,31,2.639,0.561,0.175
"1121",1121,"26/01/1997",3,1997-01-26,1997,"1997",1,"Jan",4,26,31,2.602,0.398,0.133
"1122",1122,"27/01/1997",2.9,1997-01-27,1997,"1997",1,"Jan",4,27,31,2.573,0.327,0.113
"1123",1123,"28/01/1997",2.8,1997-01-28,1997,"1997",1,"Jan",4,28,31,2.551,0.249,0.089
"1124",1124,"29/01/1997",2.7,1997-01-29,1997,"1997",1,"Jan",5,29,31,2.535,0.165,0.061
"1125",1125,"30/01/1997",2.7,1997-01-30,1997,"1997",1,"Jan",5,30,31,2.521,0.179,0.066
"1126",1126,"31/01/1997",3.3,1997-01-31,1997,"1997",1,"Jan",5,31,31,2.506,0.794,0.241
"1127",1127,"01/02/1997",2.9,1997-02-01,1997,"1997",2,"Feb",5,32,28,2.487,0.413,0.142
"1128",1128,"02/02/1997",2.7,1997-02-02,1997,"1997",2,"Feb",5,33,28,2.468,0.232,0.086
"1129",1129,"03/02/1997",2.6,1997-02-03,1997,"1997",2,"Feb",5,34,28,2.453,0.147,0.057
"1130",1130,"04/02/1997",2.6,1997-02-04,1997,"1997",2,"Feb",5,35,28,2.441,0.159,0.061
"1131",1131,"05/02/1997",2.6,1997-02-05,1997,"1997",2,"Feb",6,36,28,2.429,0.171,0.066
"1132",1132,"06/02/1997",2.6,1997-02-06,1997,"1997",2,"Feb",6,37,28,2.415,0.185,0.071
"1133",1133,"07/02/1997",2.5,1997-02-07,1997,"1997",2,"Feb",6,38,28,2.404,0.096,0.038
"1134",1134,"08/02/1997",2.4,1997-02-08,1997,"1997",2,"Feb",6,39,28,2.4,0,0
"1135",1135,"09/02/1997",2.4,1997-02-09,1997,"1997",2,"Feb",6,40,28,2.4,0,0
"1136",1136,"10/02/1997",2.8,1997-02-10,1997,"1997",2,"Feb",6,41,28,2.401,0.399,0.143
"1137",1137,"11/02/1997",6.1,1997-02-11,1997,"1997",2,"Feb",6,42,28,2.407,3.693,0.605
"1138",1138,"12/02/1997",3.8,1997-02-12,1997,"1997",2,"Feb",7,43,28,2.426,1.374,0.362
"1139",1139,"13/02/1997",3.6,1997-02-13,1997,"1997",2,"Feb",7,44,28,2.453,1.147,0.319
"1140",1140,"14/02/1997",4.7,1997-02-14,1997,"1997",2,"Feb",7,45,28,2.484,2.216,0.471
"1141",1141,"15/02/1997",5.2,1997-02-15,1997,"1997",2,"Feb",7,46,28,2.522,2.678,0.515
"1142",1142,"16/02/1997",4.6,1997-02-16,1997,"1997",2,"Feb",7,47,28,2.564,2.036,0.443
"1143",1143,"17/02/1997",4.2,1997-02-17,1997,"1997",2,"Feb",7,48,28,2.603,1.597,0.38
"1144",1144,"18/02/1997",3.7,1997-02-18,1997,"1997",2,"Feb",7,49,28,2.638,1.062,0.287
"1145",1145,"19/02/1997",3.3,1997-02-19,1997,"1997",2,"Feb",8,50,28,2.669,0.631,0.191
"1146",1146,"20/02/1997",3.2,1997-02-20,1997,"1997",2,"Feb",8,51,28,2.696,0.504,0.158
"1147",1147,"21/02/1997",3.2,1997-02-21,1997,"1997",2,"Feb",8,52,28,2.72,0.48,0.15
"1148",1148,"22/02/1997",3,1997-02-22,1997,"1997",2,"Feb",8,53,28,2.741,0.259,0.086
"1149",1149,"23/02/1997",4.7,1997-02-23,1997,"1997",2,"Feb",8,54,28,2.761,1.939,0.413
"1150",1150,"24/02/1997",6.1,1997-02-24,1997,"1997",2,"Feb",8,55,28,2.779,3.321,0.544
"1151",1151,"25/02/1997",5.2,1997-02-25,1997,"1997",2,"Feb",8,56,28,2.795,2.405,0.462
"1152",1152,"26/02/1997",4.5,1997-02-26,1997,"1997",2,"Feb",9,57,28,2.807,1.693,0.376
"1153",1153,"27/02/1997",4.1,1997-02-27,1997,"1997",2,"Feb",9,58,28,2.814,1.286,0.314
"1154",1154,"28/02/1997",3.7,1997-02-28,1997,"1997",2,"Feb",9,59,28,2.817,0.883,0.239
"1155",1155,"01/03/1997",4.3,1997-03-01,1997,"1997",3,"Mar",9,60,31,2.759,1.541,0.358
"1156",1156,"02/03/1997",4,1997-03-02,1997,"1997",3,"Mar",9,61,31,2.686,1.314,0.328
"1157",1157,"03/03/1997",3.6,1997-03-03,1997,"1997",3,"Mar",9,62,31,2.608,0.992,0.276
"1158",1158,"04/03/1997",3.3,1997-03-04,1997,"1997",3,"Mar",9,63,31,2.54,0.76,0.23
"1159",1159,"05/03/1997",3.1,1997-03-05,1997,"1997",3,"Mar",10,64,31,2.487,0.613,0.198
"1160",1160,"06/03/1997",2.9,1997-03-06,1997,"1997",3,"Mar",10,65,31,2.445,0.455,0.157
"1161",1161,"07/03/1997",2.9,1997-03-07,1997,"1997",3,"Mar",10,66,31,2.408,0.492,0.17
"1162",1162,"08/03/1997",2.8,1997-03-08,1997,"1997",3,"Mar",10,67,31,2.372,0.428,0.153
"1163",1163,"09/03/1997",2.8,1997-03-09,1997,"1997",3,"Mar",10,68,31,2.338,0.462,0.165
"1164",1164,"10/03/1997",2.6,1997-03-10,1997,"1997",3,"Mar",10,69,31,2.308,0.292,0.112
"1165",1165,"11/03/1997",2.6,1997-03-11,1997,"1997",3,"Mar",10,70,31,2.285,0.315,0.121
"1166",1166,"12/03/1997",2.6,1997-03-12,1997,"1997",3,"Mar",11,71,31,2.259,0.341,0.131
"1167",1167,"13/03/1997",2.6,1997-03-13,1997,"1997",3,"Mar",11,72,31,2.231,0.369,0.142
"1168",1168,"14/03/1997",2.4,1997-03-14,1997,"1997",3,"Mar",11,73,31,2.21,0.19,0.079
"1169",1169,"15/03/1997",2.3,1997-03-15,1997,"1997",3,"Mar",11,74,31,2.198,0.102,0.044
"1170",1170,"16/03/1997",2.5,1997-03-16,1997,"1997",3,"Mar",11,75,31,2.19,0.31,0.124
"1171",1171,"17/03/1997",2.3,1997-03-17,1997,"1997",3,"Mar",11,76,31,2.18,0.12,0.052
"1172",1172,"18/03/1997",2.3,1997-03-18,1997,"1997",3,"Mar",11,77,31,2.171,0.129,0.056
"1173",1173,"19/03/1997",2.3,1997-03-19,1997,"1997",3,"Mar",12,78,31,2.16,0.14,0.061
"1174",1174,"20/03/1997",2.3,1997-03-20,1997,"1997",3,"Mar",12,79,31,2.149,0.151,0.066
"1175",1175,"21/03/1997",2.5,1997-03-21,1997,"1997",3,"Mar",12,80,31,2.136,0.364,0.146
"1176",1176,"22/03/1997",2.4,1997-03-22,1997,"1997",3,"Mar",12,81,31,2.122,0.278,0.116
"1177",1177,"23/03/1997",2.2,1997-03-23,1997,"1997",3,"Mar",12,82,31,2.111,0.089,0.04
"1178",1178,"24/03/1997",2.2,1997-03-24,1997,"1997",3,"Mar",12,83,31,2.104,0.096,0.044
"1179",1179,"25/03/1997",2.1,1997-03-25,1997,"1997",3,"Mar",12,84,31,2.1,0,0
"1180",1180,"26/03/1997",2.1,1997-03-26,1997,"1997",3,"Mar",13,85,31,2.1,0,0
"1181",1181,"27/03/1997",2.1,1997-03-27,1997,"1997",3,"Mar",13,86,31,2.1,0,0
"1182",1182,"28/03/1997",2.1,1997-03-28,1997,"1997",3,"Mar",13,87,31,2.1,0,0
"1183",1183,"29/03/1997",2.1,1997-03-29,1997,"1997",3,"Mar",13,88,31,2.1,0,0
"1184",1184,"30/03/1997",2.2,1997-03-30,1997,"1997",3,"Mar",13,89,31,2.1,0.1,0.045
"1185",1185,"31/03/1997",2.2,1997-03-31,1997,"1997",3,"Mar",13,90,31,2.101,0.099,0.045
"1186",1186,"01/04/1997",2.2,1997-04-01,1997,"1997",4,"Apr",13,91,30,2.102,0.098,0.045
"1187",1187,"02/04/1997",2.2,1997-04-02,1997,"1997",4,"Apr",14,92,30,2.103,0.097,0.044
"1188",1188,"03/04/1997",2.6,1997-04-03,1997,"1997",4,"Apr",14,93,30,2.105,0.495,0.19
"1189",1189,"04/04/1997",2.5,1997-04-04,1997,"1997",4,"Apr",14,94,30,2.11,0.39,0.156
"1190",1190,"05/04/1997",2.6,1997-04-05,1997,"1997",4,"Apr",14,95,30,2.115,0.485,0.187
"1191",1191,"06/04/1997",2.6,1997-04-06,1997,"1997",4,"Apr",14,96,30,2.123,0.477,0.183
"1192",1192,"07/04/1997",2.5,1997-04-07,1997,"1997",4,"Apr",14,97,30,2.131,0.369,0.148
"1193",1193,"08/04/1997",2.5,1997-04-08,1997,"1997",4,"Apr",14,98,30,2.138,0.362,0.145
"1194",1194,"09/04/1997",2.6,1997-04-09,1997,"1997",4,"Apr",15,99,30,2.144,0.456,0.175
"1195",1195,"10/04/1997",2.5,1997-04-10,1997,"1997",4,"Apr",15,100,30,2.15,0.35,0.14
"1196",1196,"11/04/1997",2.6,1997-04-11,1997,"1997",4,"Apr",15,101,30,2.154,0.446,0.172
"1197",1197,"12/04/1997",2.5,1997-04-12,1997,"1997",4,"Apr",15,102,30,2.157,0.343,0.137
"1198",1198,"13/04/1997",2.6,1997-04-13,1997,"1997",4,"Apr",15,103,30,2.159,0.441,0.17
"1199",1199,"14/04/1997",2.5,1997-04-14,1997,"1997",4,"Apr",15,104,30,2.16,0.34,0.136
"1200",1200,"15/04/1997",2.5,1997-04-15,1997,"1997",4,"Apr",15,105,30,2.145,0.355,0.142
"1201",1201,"16/04/1997",2.5,1997-04-16,1997,"1997",4,"Apr",16,106,30,2.125,0.375,0.15
"1202",1202,"17/04/1997",2.5,1997-04-17,1997,"1997",4,"Apr",16,107,30,2.103,0.397,0.159
"1203",1203,"18/04/1997",2.4,1997-04-18,1997,"1997",4,"Apr",16,108,30,2.079,0.321,0.134
"1204",1204,"19/04/1997",2.3,1997-04-19,1997,"1997",4,"Apr",16,109,30,2.057,0.243,0.106
"1205",1205,"20/04/1997",2.4,1997-04-20,1997,"1997",4,"Apr",16,110,30,2.037,0.363,0.151
"1206",1206,"21/04/1997",2.5,1997-04-21,1997,"1997",4,"Apr",16,111,30,2.015,0.485,0.194
"1207",1207,"22/04/1997",2.4,1997-04-22,1997,"1997",4,"Apr",16,112,30,1.99,0.41,0.171
"1208",1208,"23/04/1997",2.7,1997-04-23,1997,"1997",4,"Apr",17,113,30,1.962,0.738,0.273
"1209",1209,"24/04/1997",2.4,1997-04-24,1997,"1997",4,"Apr",17,114,30,1.931,0.469,0.195
"1210",1210,"25/04/1997",3.2,1997-04-25,1997,"1997",4,"Apr",17,115,30,1.895,1.305,0.408
"1211",1211,"26/04/1997",4.2,1997-04-26,1997,"1997",4,"Apr",17,116,30,1.851,2.349,0.559
"1212",1212,"27/04/1997",7.4,1997-04-27,1997,"1997",4,"Apr",17,117,30,1.789,5.611,0.758
"1213",1213,"28/04/1997",4.4,1997-04-28,1997,"1997",4,"Apr",17,118,30,1.703,2.697,0.613
"1214",1214,"29/04/1997",2.9,1997-04-29,1997,"1997",4,"Apr",17,119,30,1.602,1.298,0.448
"1215",1215,"30/04/1997",2.1,1997-04-30,1997,"1997",4,"Apr",18,120,30,1.53,0.57,0.271
"1216",1216,"01/05/1997",1.6,1997-05-01,1997,"1997",5,"May",18,121,31,1.504,0.096,0.06
"1217",1217,"02/05/1997",1.5,1997-05-02,1997,"1997",5,"May",18,122,31,1.5,0,0
"1218",1218,"03/05/1997",3.6,1997-05-03,1997,"1997",5,"May",18,123,31,1.503,2.097,0.582
"1219",1219,"04/05/1997",2.8,1997-05-04,1997,"1997",5,"May",18,124,31,1.513,1.287,0.46
"1220",1220,"05/05/1997",5.6,1997-05-05,1997,"1997",5,"May",18,125,31,1.534,4.066,0.726
"1221",1221,"06/05/1997",2.4,1997-05-06,1997,"1997",5,"May",18,126,31,1.562,0.838,0.349
"1222",1222,"07/05/1997",2,1997-05-07,1997,"1997",5,"May",19,127,31,1.588,0.412,0.206
"1223",1223,"08/05/1997",1.9,1997-05-08,1997,"1997",5,"May",19,128,31,1.611,0.289,0.152
"1224",1224,"09/05/1997",2.2,1997-05-09,1997,"1997",5,"May",19,129,31,1.633,0.567,0.258
"1225",1225,"10/05/1997",1.9,1997-05-10,1997,"1997",5,"May",19,130,31,1.653,0.247,0.13
"1226",1226,"11/05/1997",2.8,1997-05-11,1997,"1997",5,"May",19,131,31,1.673,1.127,0.402
"1227",1227,"12/05/1997",4.2,1997-05-12,1997,"1997",5,"May",19,132,31,1.697,2.503,0.596
"1228",1228,"13/05/1997",8.2,1997-05-13,1997,"1997",5,"May",19,133,31,1.735,6.465,0.788
"1229",1229,"14/05/1997",6.6,1997-05-14,1997,"1997",5,"May",20,134,31,1.796,4.804,0.728
"1230",1230,"15/05/1997",4.8,1997-05-15,1997,"1997",5,"May",20,135,31,1.875,2.925,0.609
"1231",1231,"16/05/1997",5.1,1997-05-16,1997,"1997",5,"May",20,136,31,1.962,3.138,0.615
"1232",1232,"17/05/1997",3.9,1997-05-17,1997,"1997",5,"May",20,137,31,2.049,1.851,0.475
"1233",1233,"18/05/1997",3.8,1997-05-18,1997,"1997",5,"May",20,138,31,2.13,1.67,0.439
"1234",1234,"19/05/1997",3.8,1997-05-19,1997,"1997",5,"May",20,139,31,2.204,1.596,0.42
"1235",1235,"20/05/1997",3.1,1997-05-20,1997,"1997",5,"May",20,140,31,2.271,0.829,0.267
"1236",1236,"21/05/1997",3.6,1997-05-21,1997,"1997",5,"May",21,141,31,2.334,1.266,0.352
"1237",1237,"22/05/1997",6.1,1997-05-22,1997,"1997",5,"May",21,142,31,2.397,3.703,0.607
"1238",1238,"23/05/1997",4.3,1997-05-23,1997,"1997",5,"May",21,143,31,2.458,1.842,0.428
"1239",1239,"24/05/1997",4.1,1997-05-24,1997,"1997",5,"May",21,144,31,2.513,1.587,0.387
"1240",1240,"25/05/1997",3.7,1997-05-25,1997,"1997",5,"May",21,145,31,2.563,1.137,0.307
"1241",1241,"26/05/1997",3.3,1997-05-26,1997,"1997",5,"May",21,146,31,2.607,0.693,0.21
"1242",1242,"27/05/1997",4.6,1997-05-27,1997,"1997",5,"May",21,147,31,2.647,1.953,0.425
"1243",1243,"28/05/1997",3.6,1997-05-28,1997,"1997",5,"May",22,148,31,2.682,0.918,0.255
"1244",1244,"29/05/1997",5.2,1997-05-29,1997,"1997",5,"May",22,149,31,2.713,2.487,0.478
"1245",1245,"30/05/1997",4.6,1997-05-30,1997,"1997",5,"May",22,150,31,2.74,1.86,0.404
"1246",1246,"31/05/1997",3.9,1997-05-31,1997,"1997",5,"May",22,151,31,2.761,1.139,0.292
"1247",1247,"01/06/1997",3.9,1997-06-01,1997,"1997",6,"Jun",22,152,30,2.777,1.123,0.288
"1248",1248,"02/06/1997",3,1997-06-02,1997,"1997",6,"Jun",22,153,30,2.789,0.211,0.07
"1249",1249,"03/06/1997",3.3,1997-06-03,1997,"1997",6,"Jun",22,154,30,2.798,0.502,0.152
"1250",1250,"04/06/1997",3,1997-06-04,1997,"1997",6,"Jun",23,155,30,2.807,0.193,0.064
"1251",1251,"05/06/1997",2.9,1997-06-05,1997,"1997",6,"Jun",23,156,30,2.814,0.086,0.03
"1252",1252,"06/06/1997",3.2,1997-06-06,1997,"1997",6,"Jun",23,157,30,2.821,0.379,0.118
"1253",1253,"07/06/1997",4,1997-06-07,1997,"1997",6,"Jun",23,158,30,2.829,1.171,0.293
"1254",1254,"08/06/1997",3.4,1997-06-08,1997,"1997",6,"Jun",23,159,30,2.841,0.559,0.164
"1255",1255,"09/06/1997",3.6,1997-06-09,1997,"1997",6,"Jun",23,160,30,2.856,0.744,0.207
"1256",1256,"10/06/1997",3.1,1997-06-10,1997,"1997",6,"Jun",23,161,30,2.872,0.228,0.074
"1257",1257,"11/06/1997",3.8,1997-06-11,1997,"1997",6,"Jun",24,162,30,2.888,0.912,0.24
"1258",1258,"12/06/1997",4.3,1997-06-12,1997,"1997",6,"Jun",24,163,30,2.907,1.393,0.324
"1259",1259,"13/06/1997",3.5,1997-06-13,1997,"1997",6,"Jun",24,164,30,2.929,0.571,0.163
"1260",1260,"14/06/1997",3.7,1997-06-14,1997,"1997",6,"Jun",24,165,30,2.953,0.747,0.202
"1261",1261,"15/06/1997",4.9,1997-06-15,1997,"1997",6,"Jun",24,166,30,2.976,1.924,0.393
"1262",1262,"16/06/1997",3.9,1997-06-16,1997,"1997",6,"Jun",24,167,30,2.996,0.904,0.232
"1263",1263,"17/06/1997",3.4,1997-06-17,1997,"1997",6,"Jun",24,168,30,3.014,0.386,0.114
"1264",1264,"18/06/1997",3.6,1997-06-18,1997,"1997",6,"Jun",25,169,30,3.03,0.57,0.158
"1265",1265,"19/06/1997",3.7,1997-06-19,1997,"1997",6,"Jun",25,170,30,3.043,0.657,0.178
"1266",1266,"20/06/1997",3.6,1997-06-20,1997,"1997",6,"Jun",25,171,30,3.054,0.546,0.152
"1267",1267,"21/06/1997",8.8,1997-06-21,1997,"1997",6,"Jun",25,172,30,3.063,5.737,0.652
"1268",1268,"22/06/1997",5.4,1997-06-22,1997,"1997",6,"Jun",25,173,30,3.068,2.332,0.432
"1269",1269,"23/06/1997",4.2,1997-06-23,1997,"1997",6,"Jun",25,174,30,3.034,1.166,0.278
"1270",1270,"24/06/1997",3.9,1997-06-24,1997,"1997",6,"Jun",25,175,30,2.961,0.939,0.241
"1271",1271,"25/06/1997",3.7,1997-06-25,1997,"1997",6,"Jun",26,176,30,2.892,0.808,0.218
"1272",1272,"26/06/1997",3.4,1997-06-26,1997,"1997",6,"Jun",26,177,30,2.839,0.561,0.165
"1273",1273,"27/06/1997",6.1,1997-06-27,1997,"1997",6,"Jun",26,178,30,2.79,3.31,0.543
"1274",1274,"28/06/1997",3.5,1997-06-28,1997,"1997",6,"Jun",26,179,30,2.732,0.768,0.219
"1275",1275,"29/06/1997",3.6,1997-06-29,1997,"1997",6,"Jun",26,180,30,2.669,0.931,0.259
"1276",1276,"30/06/1997",3.7,1997-06-30,1997,"1997",6,"Jun",26,181,30,2.601,1.099,0.297
"1277",1277,"01/07/1997",3.1,1997-07-01,1997,"1997",7,"Jul",26,182,31,2.544,0.556,0.179
"1278",1278,"02/07/1997",2.8,1997-07-02,1997,"1997",7,"Jul",27,183,31,2.511,0.289,0.103
"1279",1279,"03/07/1997",2.5,1997-07-03,1997,"1997",7,"Jul",27,184,31,2.5,0,0
"1280",1280,"04/07/1997",2.6,1997-07-04,1997,"1997",7,"Jul",27,185,31,2.5,0.1,0.038
"1281",1281,"05/07/1997",7.9,1997-07-05,1997,"1997",7,"Jul",27,186,31,2.508,5.392,0.683
"1282",1282,"06/07/1997",4.6,1997-07-06,1997,"1997",7,"Jul",27,187,31,2.524,2.076,0.451
"1283",1283,"07/07/1997",6.4,1997-07-07,1997,"1997",7,"Jul",27,188,31,2.538,3.862,0.603
"1284",1284,"08/07/1997",5.1,1997-07-08,1997,"1997",7,"Jul",27,189,31,2.548,2.552,0.5
"1285",1285,"09/07/1997",4.6,1997-07-09,1997,"1997",7,"Jul",28,190,31,2.554,2.046,0.445
"1286",1286,"10/07/1997",2.9,1997-07-10,1997,"1997",7,"Jul",28,191,31,2.544,0.356,0.123
"1287",1287,"11/07/1997",2.9,1997-07-11,1997,"1997",7,"Jul",28,192,31,2.515,0.385,0.133
"1288",1288,"12/07/1997",2.5,1997-07-12,1997,"1997",7,"Jul",28,193,31,2.5,0,0
"1289",1289,"13/07/1997",3.9,1997-07-13,1997,"1997",7,"Jul",28,194,31,2.502,1.398,0.358
"1290",1290,"14/07/1997",4.8,1997-07-14,1997,"1997",7,"Jul",28,195,31,2.511,2.289,0.477
"1291",1291,"15/07/1997",6.8,1997-07-15,1997,"1997",7,"Jul",28,196,31,2.533,4.267,0.628
"1292",1292,"16/07/1997",7.2,1997-07-16,1997,"1997",7,"Jul",29,197,31,2.573,4.627,0.643
"1293",1293,"17/07/1997",7,1997-07-17,1997,"1997",7,"Jul",29,198,31,2.633,4.367,0.624
"1294",1294,"18/07/1997",5.8,1997-07-18,1997,"1997",7,"Jul",29,199,31,2.708,3.092,0.533
"1295",1295,"19/07/1997",4.7,1997-07-19,1997,"1997",7,"Jul",29,200,31,2.789,1.911,0.407
"1296",1296,"20/07/1997",4.1,1997-07-20,1997,"1997",7,"Jul",29,201,31,2.87,1.23,0.3
"1297",1297,"21/07/1997",4,1997-07-21,1997,"1997",7,"Jul",29,202,31,2.947,1.053,0.263
"1298",1298,"22/07/1997",4.9,1997-07-22,1997,"1997",7,"Jul",29,203,31,3.02,1.88,0.384
"1299",1299,"23/07/1997",8.3,1997-07-23,1997,"1997",7,"Jul",30,204,31,3.093,5.207,0.627
