"","OBS","DATE","FLOW","DATE2","YEAR","YEAR_CH","MONTH","MONTH_CH","WEEK","DAY","DAY_MONTH"
"753",753,"23/01/1996",2.9,1996-01-23,1996,"1996",1,"Jan",4,23,31
"754",754,"24/01/1996",2.7,1996-01-24,1996,"1996",1,"Jan",4,24,31
"755",755,"25/01/1996",2.5,1996-01-25,1996,"1996",1,"Jan",4,25,31
"756",756,"26/01/1996",2.3,1996-01-26,1996,"1996",1,"Jan",4,26,31
"757",757,"27/01/1996",2.3,1996-01-27,1996,"1996",1,"Jan",4,27,31
"758",758,"28/01/1996",3.1,1996-01-28,1996,"1996",1,"Jan",4,28,31
"759",759,"29/01/1996",2.4,1996-01-29,1996,"1996",1,"Jan",5,29,31
"760",760,"30/01/1996",2.2,1996-01-30,1996,"1996",1,"Jan",5,30,31
"761",761,"31/01/1996",2.1,1996-01-31,1996,"1996",1,"Jan",5,31,31
"762",762,"01/02/1996",2,1996-02-01,1996,"1996",2,"Feb",5,32,29
"763",763,"02/02/1996",2,1996-02-02,1996,"1996",2,"Feb",5,33,29
"764",764,"03/02/1996",1.9,1996-02-03,1996,"1996",2,"Feb",5,34,29
"765",765,"04/02/1996",2.3,1996-02-04,1996,"1996",2,"Feb",5,35,29
"766",766,"05/02/1996",26.4,1996-02-05,1996,"1996",2,"Feb",6,36,29
"767",767,"06/02/1996",26.3,1996-02-06,1996,"1996",2,"Feb",6,37,29
"768",768,"07/02/1996",15.5,1996-02-07,1996,"1996",2,"Feb",6,38,29
"769",769,"08/02/1996",9.7,1996-02-08,1996,"1996",2,"Feb",6,39,29
"770",770,"09/02/1996",7.3,1996-02-09,1996,"1996",2,"Feb",6,40,29
"771",771,"10/02/1996",6.1,1996-02-10,1996,"1996",2,"Feb",6,41,29
"772",772,"11/02/1996",5.3,1996-02-11,1996,"1996",2,"Feb",6,42,29
"773",773,"12/02/1996",16.3,1996-02-12,1996,"1996",2,"Feb",7,43,29
"774",774,"13/02/1996",40.7,1996-02-13,1996,"1996",2,"Feb",7,44,29
"775",775,"14/02/1996",29.1,1996-02-14,1996,"1996",2,"Feb",7,45,29
"776",776,"15/02/1996",13.2,1996-02-15,1996,"1996",2,"Feb",7,46,29
"777",777,"16/02/1996",10,1996-02-16,1996,"1996",2,"Feb",7,47,29
"778",778,"17/02/1996",8.4,1996-02-17,1996,"1996",2,"Feb",7,48,29
"779",779,"18/02/1996",7.2,1996-02-18,1996,"1996",2,"Feb",7,49,29
"780",780,"19/02/1996",6.4,1996-02-19,1996,"1996",2,"Feb",8,50,29
"781",781,"20/02/1996",5.8,1996-02-20,1996,"1996",2,"Feb",8,51,29
"782",782,"21/02/1996",5.3,1996-02-21,1996,"1996",2,"Feb",8,52,29
"783",783,"22/02/1996",5,1996-02-22,1996,"1996",2,"Feb",8,53,29
"784",784,"23/02/1996",4.7,1996-02-23,1996,"1996",2,"Feb",8,54,29
"785",785,"24/02/1996",4.4,1996-02-24,1996,"1996",2,"Feb",8,55,29
"786",786,"25/02/1996",4.2,1996-02-25,1996,"1996",2,"Feb",8,56,29
"787",787,"26/02/1996",4,1996-02-26,1996,"1996",2,"Feb",9,57,29
"788",788,"27/02/1996",3.8,1996-02-27,1996,"1996",2,"Feb",9,58,29
"789",789,"28/02/1996",3.8,1996-02-28,1996,"1996",2,"Feb",9,59,29
"790",790,"01/03/1996",3.6,1996-03-01,1996,"1996",3,"Mar",9,61,31
"791",791,"02/03/1996",3.5,1996-03-02,1996,"1996",3,"Mar",9,62,31
"792",792,"03/03/1996",3.4,1996-03-03,1996,"1996",3,"Mar",9,63,31
"793",793,"04/03/1996",3.3,1996-03-04,1996,"1996",3,"Mar",10,64,31
"794",794,"05/03/1996",3.1,1996-03-05,1996,"1996",3,"Mar",10,65,31
"795",795,"06/03/1996",3.1,1996-03-06,1996,"1996",3,"Mar",10,66,31
"796",796,"07/03/1996",3,1996-03-07,1996,"1996",3,"Mar",10,67,31
"797",797,"08/03/1996",2.9,1996-03-08,1996,"1996",3,"Mar",10,68,31
"798",798,"09/03/1996",2.8,1996-03-09,1996,"1996",3,"Mar",10,69,31
"799",799,"10/03/1996",3.2,1996-03-10,1996,"1996",3,"Mar",10,70,31
"800",800,"11/03/1996",3.4,1996-03-11,1996,"1996",3,"Mar",11,71,31
"801",801,"12/03/1996",2.9,1996-03-12,1996,"1996",3,"Mar",11,72,31
"802",802,"13/03/1996",2.7,1996-03-13,1996,"1996",3,"Mar",11,73,31
"803",803,"14/03/1996",2.6,1996-03-14,1996,"1996",3,"Mar",11,74,31
"804",804,"15/03/1996",2.5,1996-03-15,1996,"1996",3,"Mar",11,75,31
"805",805,"16/03/1996",2.4,1996-03-16,1996,"1996",3,"Mar",11,76,31
"806",806,"17/03/1996",2.4,1996-03-17,1996,"1996",3,"Mar",11,77,31
"807",807,"18/03/1996",2.3,1996-03-18,1996,"1996",3,"Mar",12,78,31
"808",808,"19/03/1996",2.3,1996-03-19,1996,"1996",3,"Mar",12,79,31
"809",809,"20/03/1996",2.2,1996-03-20,1996,"1996",3,"Mar",12,80,31
"810",810,"21/03/1996",2.3,1996-03-21,1996,"1996",3,"Mar",12,81,31
"811",811,"22/03/1996",2.9,1996-03-22,1996,"1996",3,"Mar",12,82,31
"812",812,"23/03/1996",3,1996-03-23,1996,"1996",3,"Mar",12,83,31
"813",813,"24/03/1996",2.5,1996-03-24,1996,"1996",3,"Mar",12,84,31
"814",814,"25/03/1996",2.4,1996-03-25,1996,"1996",3,"Mar",13,85,31
"815",815,"26/03/1996",2.2,1996-03-26,1996,"1996",3,"Mar",13,86,31
"816",816,"27/03/1996",2.4,1996-03-27,1996,"1996",3,"Mar",13,87,31
"817",817,"28/03/1996",2.3,1996-03-28,1996,"1996",3,"Mar",13,88,31
"818",818,"29/03/1996",2.4,1996-03-29,1996,"1996",3,"Mar",13,89,31
"819",819,"30/03/1996",2.6,1996-03-30,1996,"1996",3,"Mar",13,90,31
"820",820,"31/03/1996",2.5,1996-03-31,1996,"1996",3,"Mar",13,91,31
"821",821,"01/04/1996",2.2,1996-04-01,1996,"1996",4,"Apr",14,92,30
"822",822,"02/04/1996",2.1,1996-04-02,1996,"1996",4,"Apr",14,93,30
"823",823,"03/04/1996",2.1,1996-04-03,1996,"1996",4,"Apr",14,94,30
"824",824,"04/04/1996",2,1996-04-04,1996,"1996",4,"Apr",14,95,30
"825",825,"05/04/1996",2,1996-04-05,1996,"1996",4,"Apr",14,96,30
"826",826,"06/04/1996",1.9,1996-04-06,1996,"1996",4,"Apr",14,97,30
"827",827,"07/04/1996",1.9,1996-04-07,1996,"1996",4,"Apr",14,98,30
"828",828,"08/04/1996",1.8,1996-04-08,1996,"1996",4,"Apr",15,99,30
"829",829,"09/04/1996",1.7,1996-04-09,1996,"1996",4,"Apr",15,100,30
"830",830,"10/04/1996",1.7,1996-04-10,1996,"1996",4,"Apr",15,101,30
"831",831,"11/04/1996",1.7,1996-04-11,1996,"1996",4,"Apr",15,102,30
"832",832,"12/04/1996",1.7,1996-04-12,1996,"1996",4,"Apr",15,103,30
"833",833,"13/04/1996",1.6,1996-04-13,1996,"1996",4,"Apr",15,104,30
"834",834,"14/04/1996",1.6,1996-04-14,1996,"1996",4,"Apr",15,105,30
"835",835,"15/04/1996",1.5,1996-04-15,1996,"1996",4,"Apr",16,106,30
"836",836,"16/04/1996",1.5,1996-04-16,1996,"1996",4,"Apr",16,107,30
"837",837,"17/04/1996",1.5,1996-04-17,1996,"1996",4,"Apr",16,108,30
"838",838,"18/04/1996",1.5,1996-04-18,1996,"1996",4,"Apr",16,109,30
"839",839,"19/04/1996",1.5,1996-04-19,1996,"1996",4,"Apr",16,110,30
"840",840,"20/04/1996",1.4,1996-04-20,1996,"1996",4,"Apr",16,111,30
"841",841,"21/04/1996",1.4,1996-04-21,1996,"1996",4,"Apr",16,112,30
"842",842,"22/04/1996",1.4,1996-04-22,1996,"1996",4,"Apr",17,113,30
"843",843,"23/04/1996",1.4,1996-04-23,1996,"1996",4,"Apr",17,114,30
"844",844,"24/04/1996",1.3,1996-04-24,1996,"1996",4,"Apr",17,115,30
"845",845,"25/04/1996",1.4,1996-04-25,1996,"1996",4,"Apr",17,116,30
"846",846,"26/04/1996",1.3,1996-04-26,1996,"1996",4,"Apr",17,117,30
"847",847,"27/04/1996",1.4,1996-04-27,1996,"1996",4,"Apr",17,118,30
"848",848,"28/04/1996",1.5,1996-04-28,1996,"1996",4,"Apr",17,119,30
"849",849,"29/04/1996",1.5,1996-04-29,1996,"1996",4,"Apr",18,120,30
"850",850,"30/04/1996",1.5,1996-04-30,1996,"1996",4,"Apr",18,121,30
"851",851,"01/05/1996",1.8,1996-05-01,1996,"1996",5,"May",18,122,31
"852",852,"02/05/1996",1.5,1996-05-02,1996,"1996",5,"May",18,123,31
"853",853,"03/05/1996",1.3,1996-05-03,1996,"1996",5,"May",18,124,31
"854",854,"04/05/1996",1.3,1996-05-04,1996,"1996",5,"May",18,125,31
"855",855,"05/05/1996",1.3,1996-05-05,1996,"1996",5,"May",18,126,31
"856",856,"06/05/1996",1.5,1996-05-06,1996,"1996",5,"May",19,127,31
"857",857,"07/05/1996",1.7,1996-05-07,1996,"1996",5,"May",19,128,31
"858",858,"08/05/1996",2.9,1996-05-08,1996,"1996",5,"May",19,129,31
"859",859,"09/05/1996",2.4,1996-05-09,1996,"1996",5,"May",19,130,31
"860",860,"10/05/1996",1.9,1996-05-10,1996,"1996",5,"May",19,131,31
"861",861,"11/05/1996",1.9,1996-05-11,1996,"1996",5,"May",19,132,31
"862",862,"12/05/1996",3.1,1996-05-12,1996,"1996",5,"May",19,133,31
"863",863,"13/05/1996",2.9,1996-05-13,1996,"1996",5,"May",20,134,31
"864",864,"14/05/1996",4.1,1996-05-14,1996,"1996",5,"May",20,135,31
"865",865,"15/05/1996",3.4,1996-05-15,1996,"1996",5,"May",20,136,31
"866",866,"16/05/1996",2.6,1996-05-16,1996,"1996",5,"May",20,137,31
"867",867,"17/05/1996",2.5,1996-05-17,1996,"1996",5,"May",20,138,31
"868",868,"18/05/1996",2.6,1996-05-18,1996,"1996",5,"May",20,139,31
"869",869,"19/05/1996",4.4,1996-05-19,1996,"1996",5,"May",20,140,31
"870",870,"20/05/1996",3.6,1996-05-20,1996,"1996",5,"May",21,141,31
"871",871,"21/05/1996",5.2,1996-05-21,1996,"1996",5,"May",21,142,31
"872",872,"22/05/1996",4.5,1996-05-22,1996,"1996",5,"May",21,143,31
"873",873,"23/05/1996",3.5,1996-05-23,1996,"1996",5,"May",21,144,31
"874",874,"24/05/1996",3.5,1996-05-24,1996,"1996",5,"May",21,145,31
"875",875,"25/05/1996",4.4,1996-05-25,1996,"1996",5,"May",21,146,31
"876",876,"26/05/1996",7.7,1996-05-26,1996,"1996",5,"May",21,147,31
"877",877,"27/05/1996",5.3,1996-05-27,1996,"1996",5,"May",22,148,31
"878",878,"28/05/1996",5.7,1996-05-28,1996,"1996",5,"May",22,149,31
"879",879,"29/05/1996",4.1,1996-05-29,1996,"1996",5,"May",22,150,31
"880",880,"30/05/1996",6.1,1996-05-30,1996,"1996",5,"May",22,151,31
"881",881,"31/05/1996",4.3,1996-05-31,1996,"1996",5,"May",22,152,31
"882",882,"01/06/1996",8.5,1996-06-01,1996,"1996",6,"Jun",22,153,30
"883",883,"02/06/1996",5.8,1996-06-02,1996,"1996",6,"Jun",22,154,30
"884",884,"03/06/1996",4.9,1996-06-03,1996,"1996",6,"Jun",23,155,30
"885",885,"04/06/1996",4.1,1996-06-04,1996,"1996",6,"Jun",23,156,30
"886",886,"05/06/1996",4,1996-06-05,1996,"1996",6,"Jun",23,157,30
"887",887,"06/06/1996",4.1,1996-06-06,1996,"1996",6,"Jun",23,158,30
"888",888,"07/06/1996",3.7,1996-06-07,1996,"1996",6,"Jun",23,159,30
"889",889,"08/06/1996",8,1996-06-08,1996,"1996",6,"Jun",23,160,30
"890",890,"09/06/1996",3.9,1996-06-09,1996,"1996",6,"Jun",23,161,30
"891",891,"10/06/1996",3.6,1996-06-10,1996,"1996",6,"Jun",24,162,30
"892",892,"11/06/1996",3.4,1996-06-11,1996,"1996",6,"Jun",24,163,30
"893",893,"12/06/1996",3.1,1996-06-12,1996,"1996",6,"Jun",24,164,30
"894",894,"13/06/1996",3.4,1996-06-13,1996,"1996",6,"Jun",24,165,30
"895",895,"14/06/1996",3.1,1996-06-14,1996,"1996",6,"Jun",24,166,30
"896",896,"15/06/1996",3,1996-06-15,1996,"1996",6,"Jun",24,167,30
"897",897,"16/06/1996",3.3,1996-06-16,1996,"1996",6,"Jun",24,168,30
"898",898,"17/06/1996",5.6,1996-06-17,1996,"1996",6,"Jun",25,169,30
"899",899,"18/06/1996",3.9,1996-06-18,1996,"1996",6,"Jun",25,170,30
"900",900,"19/06/1996",3.5,1996-06-19,1996,"1996",6,"Jun",25,171,30
"901",901,"20/06/1996",3.4,1996-06-20,1996,"1996",6,"Jun",25,172,30
"902",902,"21/06/1996",3.2,1996-06-21,1996,"1996",6,"Jun",25,173,30
"903",903,"22/06/1996",3.4,1996-06-22,1996,"1996",6,"Jun",25,174,30
"904",904,"23/06/1996",3.1,1996-06-23,1996,"1996",6,"Jun",25,175,30
"905",905,"24/06/1996",4.1,1996-06-24,1996,"1996",6,"Jun",26,176,30
"906",906,"25/06/1996",3.8,1996-06-25,1996,"1996",6,"Jun",26,177,30
"907",907,"26/06/1996",5.2,1996-06-26,1996,"1996",6,"Jun",26,178,30
"908",908,"27/06/1996",12.4,1996-06-27,1996,"1996",6,"Jun",26,179,30
"909",909,"28/06/1996",8.7,1996-06-28,1996,"1996",6,"Jun",26,180,30
"910",910,"29/06/1996",7,1996-06-29,1996,"1996",6,"Jun",26,181,30
"911",911,"30/06/1996",6.9,1996-06-30,1996,"1996",6,"Jun",26,182,30
"912",912,"01/07/1996",10.8,1996-07-01,1996,"1996",7,"Jul",27,183,31
"913",913,"02/07/1996",12,1996-07-02,1996,"1996",7,"Jul",27,184,31
"914",914,"03/07/1996",9.6,1996-07-03,1996,"1996",7,"Jul",27,185,31
"915",915,"04/07/1996",8.3,1996-07-04,1996,"1996",7,"Jul",27,186,31
"916",916,"05/07/1996",7.8,1996-07-05,1996,"1996",7,"Jul",27,187,31
"917",917,"06/07/1996",6.6,1996-07-06,1996,"1996",7,"Jul",27,188,31
"918",918,"07/07/1996",5.8,1996-07-07,1996,"1996",7,"Jul",27,189,31
"919",919,"08/07/1996",5.4,1996-07-08,1996,"1996",7,"Jul",28,190,31
"920",920,"09/07/1996",6,1996-07-09,1996,"1996",7,"Jul",28,191,31
"921",921,"10/07/1996",5,1996-07-10,1996,"1996",7,"Jul",28,192,31
"922",922,"11/07/1996",4.5,1996-07-11,1996,"1996",7,"Jul",28,193,31
"923",923,"12/07/1996",4.4,1996-07-12,1996,"1996",7,"Jul",28,194,31
"924",924,"13/07/1996",4.2,1996-07-13,1996,"1996",7,"Jul",28,195,31
"925",925,"14/07/1996",5.4,1996-07-14,1996,"1996",7,"Jul",28,196,31
"926",926,"15/07/1996",4.1,1996-07-15,1996,"1996",7,"Jul",29,197,31
"927",927,"16/07/1996",3.9,1996-07-16,1996,"1996",7,"Jul",29,198,31
"928",928,"17/07/1996",4.6,1996-07-17,1996,"1996",7,"Jul",29,199,31
"929",929,"18/07/1996",3.8,1996-07-18,1996,"1996",7,"Jul",29,200,31
"930",930,"19/07/1996",3.8,1996-07-19,1996,"1996",7,"Jul",29,201,31
"931",931,"20/07/1996",3.4,1996-07-20,1996,"1996",7,"Jul",29,202,31
"932",932,"21/07/1996",3.2,1996-07-21,1996,"1996",7,"Jul",29,203,31
"933",933,"22/07/1996",3.8,1996-07-22,1996,"1996",7,"Jul",30,204,31
"934",934,"23/07/1996",3.5,1996-07-23,1996,"1996",7,"Jul",30,205,31
"935",935,"24/07/1996",5.2,1996-07-24,1996,"1996",7,"Jul",30,206,31
"936",936,"25/07/1996",3.8,1996-07-25,1996,"1996",7,"Jul",30,207,31
"937",937,"26/07/1996",3.6,1996-07-26,1996,"1996",7,"Jul",30,208,31
"938",938,"27/07/1996",4.8,1996-07-27,1996,"1996",7,"Jul",30,209,31
"939",939,"28/07/1996",29.9,1996-07-28,1996,"1996",7,"Jul",30,210,31
"940",940,"29/07/1996",8.7,1996-07-29,1996,"1996",7,"Jul",31,211,31
"941",941,"30/07/1996",5.8,1996-07-30,1996,"1996",7,"Jul",31,212,31
"942",942,"31/07/1996",4.8,1996-07-31,1996,"1996",7,"Jul",31,213,31
"943",943,"01/08/1996",4,1996-08-01,1996,"1996",8,"Aug",31,214,31
"944",944,"02/08/1996",3.6,1996-08-02,1996,"1996",8,"Aug",31,215,31
"945",945,"03/08/1996",3.3,1996-08-03,1996,"1996",8,"Aug",31,216,31
"946",946,"04/08/1996",3.2,1996-08-04,1996,"1996",8,"Aug",31,217,31
"947",947,"05/08/1996",3.8,1996-08-05,1996,"1996",8,"Aug",32,218,31
"948",948,"06/08/1996",4.7,1996-08-06,1996,"1996",8,"Aug",32,219,31
"949",949,"07/08/1996",6.5,1996-08-07,1996,"1996",8,"Aug",32,220,31
"950",950,"08/08/1996",6,1996-08-08,1996,"1996",8,"Aug",32,221,31
"951",951,"09/08/1996",5.4,1996-08-09,1996,"1996",8,"Aug",32,222,31
"952",952,"10/08/1996",4.5,1996-08-10,1996,"1996",8,"Aug",32,223,31
"953",953,"11/08/1996",4,1996-08-11,1996,"1996",8,"Aug",32,224,31
"954",954,"12/08/1996",3.7,1996-08-12,1996,"1996",8,"Aug",33,225,31
"955",955,"13/08/1996",4.2,1996-08-13,1996,"1996",8,"Aug",33,226,31
"956",956,"14/08/1996",3.4,1996-08-14,1996,"1996",8,"Aug",33,227,31
"957",957,"15/08/1996",3.4,1996-08-15,1996,"1996",8,"Aug",33,228,31
"958",958,"16/08/1996",3.3,1996-08-16,1996,"1996",8,"Aug",33,229,31
"959",959,"17/08/1996",11.1,1996-08-17,1996,"1996",8,"Aug",33,230,31
"960",960,"18/08/1996",6.1,1996-08-18,1996,"1996",8,"Aug",33,231,31
"961",961,"19/08/1996",5.1,1996-08-19,1996,"1996",8,"Aug",34,232,31
"962",962,"20/08/1996",10.4,1996-08-20,1996,"1996",8,"Aug",34,233,31
"963",963,"21/08/1996",10.1,1996-08-21,1996,"1996",8,"Aug",34,234,31
"964",964,"22/08/1996",6.9,1996-08-22,1996,"1996",8,"Aug",34,235,31
"965",965,"23/08/1996",8.3,1996-08-23,1996,"1996",8,"Aug",34,236,31
"966",966,"24/08/1996",6.6,1996-08-24,1996,"1996",8,"Aug",34,237,31
"967",967,"25/08/1996",7,1996-08-25,1996,"1996",8,"Aug",34,238,31
"968",968,"26/08/1996",7.3,1996-08-26,1996,"1996",8,"Aug",35,239,31
"969",969,"27/08/1996",7.7,1996-08-27,1996,"1996",8,"Aug",35,240,31
"970",970,"28/08/1996",6.3,1996-08-28,1996,"1996",8,"Aug",35,241,31
"971",971,"29/08/1996",5.5,1996-08-29,1996,"1996",8,"Aug",35,242,31
"972",972,"30/08/1996",5.7,1996-08-30,1996,"1996",8,"Aug",35,243,31
"973",973,"31/08/1996",7.2,1996-08-31,1996,"1996",8,"Aug",35,244,31
"974",974,"01/09/1996",5.3,1996-09-01,1996,"1996",9,"Sep",35,245,30
"975",975,"02/09/1996",4.9,1996-09-02,1996,"1996",9,"Sep",36,246,30
"976",976,"03/09/1996",5,1996-09-03,1996,"1996",9,"Sep",36,247,30
"977",977,"04/09/1996",5.1,1996-09-04,1996,"1996",9,"Sep",36,248,30
"978",978,"05/09/1996",4.7,1996-09-05,1996,"1996",9,"Sep",36,249,30
"979",979,"06/09/1996",7.3,1996-09-06,1996,"1996",9,"Sep",36,250,30
"980",980,"07/09/1996",5.9,1996-09-07,1996,"1996",9,"Sep",36,251,30
"981",981,"08/09/1996",5.8,1996-09-08,1996,"1996",9,"Sep",36,252,30
"982",982,"09/09/1996",5.6,1996-09-09,1996,"1996",9,"Sep",37,253,30
"983",983,"10/09/1996",4.9,1996-09-10,1996,"1996",9,"Sep",37,254,30
"984",984,"11/09/1996",4.4,1996-09-11,1996,"1996",9,"Sep",37,255,30
"985",985,"12/09/1996",4.1,1996-09-12,1996,"1996",9,"Sep",37,256,30
"986",986,"13/09/1996",4,1996-09-13,1996,"1996",9,"Sep",37,257,30
"987",987,"14/09/1996",5.2,1996-09-14,1996,"1996",9,"Sep",37,258,30
"988",988,"15/09/1996",5.6,1996-09-15,1996,"1996",9,"Sep",37,259,30
"989",989,"16/09/1996",4.7,1996-09-16,1996,"1996",9,"Sep",38,260,30
"990",990,"17/09/1996",5.6,1996-09-17,1996,"1996",9,"Sep",38,261,30
"991",991,"18/09/1996",4.7,1996-09-18,1996,"1996",9,"Sep",38,262,30
"992",992,"19/09/1996",4.9,1996-09-19,1996,"1996",9,"Sep",38,263,30
"993",993,"20/09/1996",4.2,1996-09-20,1996,"1996",9,"Sep",38,264,30
"994",994,"21/09/1996",4,1996-09-21,1996,"1996",9,"Sep",38,265,30
"995",995,"22/09/1996",7.4,1996-09-22,1996,"1996",9,"Sep",38,266,30
"996",996,"23/09/1996",5.5,1996-09-23,1996,"1996",9,"Sep",39,267,30
"997",997,"24/09/1996",4.7,1996-09-24,1996,"1996",9,"Sep",39,268,30
"998",998,"25/09/1996",9.8,1996-09-25,1996,"1996",9,"Sep",39,269,30
"999",999,"26/09/1996",10,1996-09-26,1996,"1996",9,"Sep",39,270,30
"1000",1000,"27/09/1996",8,1996-09-27,1996,"1996",9,"Sep",39,271,30
"1001",1001,"28/09/1996",5.6,1996-09-28,1996,"1996",9,"Sep",39,272,30
"1002",1002,"29/09/1996",5.1,1996-09-29,1996,"1996",9,"Sep",39,273,30
"1003",1003,"30/09/1996",7.3,1996-09-30,1996,"1996",9,"Sep",40,274,30
"1004",1004,"01/10/1996",7.6,1996-10-01,1996,"1996",10,"Oct",40,275,31
"1005",1005,"02/10/1996",3.9,1996-10-02,1996,"1996",10,"Oct",40,276,31
"1006",1006,"03/10/1996",3.8,1996-10-03,1996,"1996",10,"Oct",40,277,31
"1007",1007,"04/10/1996",4.3,1996-10-04,1996,"1996",10,"Oct",40,278,31
"1008",1008,"05/10/1996",8.6,1996-10-05,1996,"1996",10,"Oct",40,279,31
"1009",1009,"06/10/1996",4.5,1996-10-06,1996,"1996",10,"Oct",40,280,31
"1010",1010,"07/10/1996",4.3,1996-10-07,1996,"1996",10,"Oct",41,281,31
"1011",1011,"08/10/1996",9.3,1996-10-08,1996,"1996",10,"Oct",41,282,31
"1012",1012,"09/10/1996",6.2,1996-10-09,1996,"1996",10,"Oct",41,283,31
"1013",1013,"10/10/1996",5.6,1996-10-10,1996,"1996",10,"Oct",41,284,31
"1014",1014,"11/10/1996",5.1,1996-10-11,1996,"1996",10,"Oct",41,285,31
"1015",1015,"12/10/1996",5.2,1996-10-12,1996,"1996",10,"Oct",41,286,31
"1016",1016,"13/10/1996",4.6,1996-10-13,1996,"1996",10,"Oct",41,287,31
"1017",1017,"14/10/1996",7.5,1996-10-14,1996,"1996",10,"Oct",42,288,31
"1018",1018,"15/10/1996",16.7,1996-10-15,1996,"1996",10,"Oct",42,289,31
"1019",1019,"16/10/1996",13,1996-10-16,1996,"1996",10,"Oct",42,290,31
"1020",1020,"17/10/1996",5.9,1996-10-17,1996,"1996",10,"Oct",42,291,31
"1021",1021,"18/10/1996",7.4,1996-10-18,1996,"1996",10,"Oct",42,292,31
"1022",1022,"19/10/1996",7.7,1996-10-19,1996,"1996",10,"Oct",42,293,31
"1023",1023,"20/10/1996",6.5,1996-10-20,1996,"1996",10,"Oct",42,294,31
"1024",1024,"21/10/1996",5.8,1996-10-21,1996,"1996",10,"Oct",43,295,31
"1025",1025,"22/10/1996",5.3,1996-10-22,1996,"1996",10,"Oct",43,296,31
"1026",1026,"23/10/1996",4.8,1996-10-23,1996,"1996",10,"Oct",43,297,31
"1027",1027,"24/10/1996",3.5,1996-10-24,1996,"1996",10,"Oct",43,298,31
"1028",1028,"25/10/1996",3.6,1996-10-25,1996,"1996",10,"Oct",43,299,31
"1029",1029,"26/10/1996",4.5,1996-10-26,1996,"1996",10,"Oct",43,300,31
"1030",1030,"27/10/1996",5.5,1996-10-27,1996,"1996",10,"Oct",43,301,31
"1031",1031,"28/10/1996",6,1996-10-28,1996,"1996",10,"Oct",44,302,31
"1032",1032,"29/10/1996",4.7,1996-10-29,1996,"1996",10,"Oct",44,303,31
"1033",1033,"30/10/1996",4.6,1996-10-30,1996,"1996",10,"Oct",44,304,31
"1034",1034,"31/10/1996",4.4,1996-10-31,1996,"1996",10,"Oct",44,305,31
"1035",1035,"01/11/1996",6.3,1996-11-01,1996,"1996",11,"Nov",44,306,30
"1036",1036,"02/11/1996",12,1996-11-02,1996,"1996",11,"Nov",44,307,30
"1037",1037,"03/11/1996",8.7,1996-11-03,1996,"1996",11,"Nov",44,308,30
"1038",1038,"04/11/1996",7.2,1996-11-04,1996,"1996",11,"Nov",45,309,30
"1039",1039,"05/11/1996",6.8,1996-11-05,1996,"1996",11,"Nov",45,310,30
"1040",1040,"06/11/1996",5.8,1996-11-06,1996,"1996",11,"Nov",45,311,30
"1041",1041,"07/11/1996",6.2,1996-11-07,1996,"1996",11,"Nov",45,312,30
"1042",1042,"08/11/1996",5.2,1996-11-08,1996,"1996",11,"Nov",45,313,30
"1043",1043,"09/11/1996",5.9,1996-11-09,1996,"1996",11,"Nov",45,314,30
"1044",1044,"10/11/1996",4.7,1996-11-10,1996,"1996",11,"Nov",45,315,30
"1045",1045,"11/11/1996",4.4,1996-11-11,1996,"1996",11,"Nov",46,316,30
"1046",1046,"12/11/1996",4.2,1996-11-12,1996,"1996",11,"Nov",46,317,30
"1047",1047,"13/11/1996",4.7,1996-11-13,1996,"1996",11,"Nov",46,318,30
"1048",1048,"14/11/1996",4.4,1996-11-14,1996,"1996",11,"Nov",46,319,30
"1049",1049,"15/11/1996",4.4,1996-11-15,1996,"1996",11,"Nov",46,320,30
"1050",1050,"16/11/1996",3.9,1996-11-16,1996,"1996",11,"Nov",46,321,30
"1051",1051,"17/11/1996",3.8,1996-11-17,1996,"1996",11,"Nov",46,322,30
"1052",1052,"18/11/1996",4.2,1996-11-18,1996,"1996",11,"Nov",47,323,30
"1053",1053,"19/11/1996",7.2,1996-11-19,1996,"1996",11,"Nov",47,324,30
"1054",1054,"20/11/1996",9.5,1996-11-20,1996,"1996",11,"Nov",47,325,30
"1055",1055,"21/11/1996",11.6,1996-11-21,1996,"1996",11,"Nov",47,326,30
"1056",1056,"22/11/1996",10.9,1996-11-22,1996,"1996",11,"Nov",47,327,30
"1057",1057,"23/11/1996",9,1996-11-23,1996,"1996",11,"Nov",47,328,30
"1058",1058,"24/11/1996",7,1996-11-24,1996,"1996",11,"Nov",47,329,30
"1059",1059,"25/11/1996",6.2,1996-11-25,1996,"1996",11,"Nov",48,330,30
"1060",1060,"26/11/1996",9,1996-11-26,1996,"1996",11,"Nov",48,331,30
"1061",1061,"27/11/1996",12,1996-11-27,1996,"1996",11,"Nov",48,332,30
"1062",1062,"28/11/1996",7,1996-11-28,1996,"1996",11,"Nov",48,333,30
"1063",1063,"29/11/1996",6.3,1996-11-29,1996,"1996",11,"Nov",48,334,30
"1064",1064,"30/11/1996",5.8,1996-11-30,1996,"1996",11,"Nov",48,335,30
"1065",1065,"01/12/1996",5.4,1996-12-01,1996,"1996",12,"Dec",48,336,31
"1066",1066,"02/12/1996",5.8,1996-12-02,1996,"1996",12,"Dec",49,337,31
"1067",1067,"03/12/1996",5.1,1996-12-03,1996,"1996",12,"Dec",49,338,31
"1068",1068,"04/12/1996",4.7,1996-12-04,1996,"1996",12,"Dec",49,339,31
